86Sr(p,n)86Y						
						
						
	fit	fit				
Energy	Pade	Uncert.	Phys. yield	Phys. yield	1 h irrad.	Saturation
MeV	mb	mb	MBq/uAh  	mCi/uAh  	MBq/uA  	MBq/uA
24.6	92.4	3.8	8.22E+02	2.22E+01	8.03E+02	1.75E+04
24.7	91.5	3.7	8.23E+02	2.23E+01	8.04E+02	1.75E+04
24.8	90.6	3.7	8.25E+02	2.23E+01	8.06E+02	1.75E+04
24.9	89.7	3.7	8.26E+02	2.23E+01	8.07E+02	1.76E+04
25.0	88.9	3.6	8.28E+02	2.24E+01	8.08E+02	1.76E+04
25.1	88.1	3.6	8.29E+02	2.24E+01	8.10E+02	1.76E+04
25.2	87.3	3.6	8.30E+02	2.24E+01	8.11E+02	1.77E+04
25.3	86.6	3.5	8.32E+02	2.25E+01	8.12E+02	1.77E+04
25.4	85.9	3.5	8.33E+02	2.25E+01	8.14E+02	1.77E+04
25.5	85.2	3.5	8.34E+02	2.26E+01	8.15E+02	1.77E+04
25.6	84.5	3.4	8.36E+02	2.26E+01	8.16E+02	1.78E+04
25.7	83.8	3.4	8.37E+02	2.26E+01	8.18E+02	1.78E+04
25.8	83.2	3.4	8.39E+02	2.27E+01	8.19E+02	1.78E+04
25.9	82.6	3.4	8.40E+02	2.27E+01	8.20E+02	1.79E+04
26.0	82.0	3.3	8.41E+02	2.27E+01	8.22E+02	1.79E+04
26.1	81.4	3.3	8.43E+02	2.28E+01	8.23E+02	1.79E+04
26.2	80.8	3.3	8.44E+02	2.28E+01	8.24E+02	1.79E+04
26.3	80.3	3.3	8.45E+02	2.28E+01	8.26E+02	1.80E+04
26.4	79.7	3.2	8.46E+02	2.29E+01	8.27E+02	1.80E+04
26.5	79.2	3.2	8.48E+02	2.29E+01	8.28E+02	1.80E+04
26.6	78.7	3.2	8.49E+02	2.29E+01	8.29E+02	1.81E+04
26.7	78.2	3.2	8.50E+02	2.30E+01	8.31E+02	1.81E+04
26.8	77.7	3.2	8.52E+02	2.30E+01	8.32E+02	1.81E+04
26.9	77.2	3.1	8.53E+02	2.31E+01	8.33E+02	1.81E+04
27.0	76.8	3.1	8.54E+02	2.31E+01	8.34E+02	1.82E+04
27.1	76.3	3.1	8.55E+02	2.31E+01	8.36E+02	1.82E+04
27.2	75.9	3.1	8.57E+02	2.32E+01	8.37E+02	1.82E+04
27.3	75.5	3.1	8.58E+02	2.32E+01	8.38E+02	1.82E+04
27.4	75.1	3.1	8.59E+02	2.32E+01	8.39E+02	1.83E+04
27.5	74.7	3.0	8.61E+02	2.33E+01	8.41E+02	1.83E+04
27.6	74.3	3.0	8.62E+02	2.33E+01	8.42E+02	1.83E+04
27.7	73.9	3.0	8.63E+02	2.33E+01	8.43E+02	1.84E+04
27.8	73.6	3.0	8.64E+02	2.34E+01	8.44E+02	1.84E+04
27.9	73.2	3.0	8.66E+02	2.34E+01	8.46E+02	1.84E+04
28.0	72.8	3.0	8.67E+02	2.34E+01	8.47E+02	1.84E+04
28.1	72.5	3.0	8.68E+02	2.35E+01	8.48E+02	1.85E+04
28.2	72.2	3.0	8.69E+02	2.35E+01	8.49E+02	1.85E+04
28.3	71.8	3.0	8.71E+02	2.35E+01	8.50E+02	1.85E+04
28.4	71.5	3.0	8.72E+02	2.36E+01	8.52E+02	1.85E+04
28.5	71.2	3.0	8.73E+02	2.36E+01	8.53E+02	1.86E+04
28.6	70.9	2.9	8.74E+02	2.36E+01	8.54E+02	1.86E+04
28.7	70.6	2.9	8.75E+02	2.37E+01	8.55E+02	1.86E+04
28.8	70.3	2.9	8.77E+02	2.37E+01	8.56E+02	1.86E+04
28.9	70.0	2.9	8.78E+02	2.37E+01	8.58E+02	1.87E+04
