88Sr(p,3n)86Y						
						
						
	fit	fit				
Energy	Pade	Uncert.	Phys. yield	Phys. yield	1 h irrad.	Saturation
MeV	mb	mb	MBq/uAh  	mCi/uAh  	MBq/uA  	MBq/uA
54.0	93.7	9.8	1.73E+03	4.68E+01	1.69E+03	3.68E+04
54.1	93.1	9.7	1.73E+03	4.69E+01	1.69E+03	3.69E+04
54.2	92.4	9.6	1.74E+03	4.69E+01	1.70E+03	3.69E+04
54.3	91.8	9.6	1.74E+03	4.70E+01	1.70E+03	3.70E+04
54.4	91.1	9.5	1.74E+03	4.71E+01	1.70E+03	3.70E+04
54.5	90.5	9.4	1.74E+03	4.71E+01	1.70E+03	3.71E+04
54.6	89.9	9.4	1.75E+03	4.72E+01	1.71E+03	3.71E+04
54.7	89.4	9.3	1.75E+03	4.73E+01	1.71E+03	3.72E+04
54.8	88.8	9.3	1.75E+03	4.73E+01	1.71E+03	3.72E+04
54.9	88.2	9.2	1.75E+03	4.74E+01	1.71E+03	3.73E+04
55.0	87.7	9.1	1.76E+03	4.75E+01	1.72E+03	3.74E+04
55.1	87.1	7.5	1.76E+03	4.75E+01	1.72E+03	3.74E+04
55.2	86.6	7.4	1.76E+03	4.76E+01	1.72E+03	3.75E+04
55.3	86.0	7.4	1.76E+03	4.77E+01	1.72E+03	3.75E+04
55.4	85.5	7.3	1.77E+03	4.77E+01	1.73E+03	3.76E+04
55.5	85.0	7.3	1.77E+03	4.78E+01	1.73E+03	3.76E+04
55.6	84.5	7.2	1.77E+03	4.79E+01	1.73E+03	3.77E+04
55.7	84.0	7.2	1.77E+03	4.79E+01	1.73E+03	3.77E+04
55.8	83.5	7.2	1.78E+03	4.80E+01	1.73E+03	3.78E+04
55.9	83.0	7.1	1.78E+03	4.81E+01	1.74E+03	3.78E+04
56.0	82.5	7.1	1.78E+03	4.81E+01	1.74E+03	3.79E+04
56.1	82.1	7.0	1.78E+03	4.82E+01	1.74E+03	3.79E+04
56.2	81.6	7.0	1.79E+03	4.83E+01	1.74E+03	3.80E+04
56.3	81.1	7.0	1.79E+03	4.83E+01	1.75E+03	3.80E+04
56.4	80.7	6.9	1.79E+03	4.84E+01	1.75E+03	3.81E+04
56.5	80.3	6.9	1.79E+03	4.84E+01	1.75E+03	3.81E+04
56.6	79.8	6.8	1.79E+03	4.85E+01	1.75E+03	3.82E+04
56.7	79.4	6.8	1.80E+03	4.86E+01	1.76E+03	3.82E+04
56.8	79.0	6.8	1.80E+03	4.86E+01	1.76E+03	3.83E+04
56.9	78.6	6.7	1.80E+03	4.87E+01	1.76E+03	3.83E+04
